iteration	particle_num	MCS_value	fitness_value	original_fitness_value
0	a	0.978	1272	1272
0	b	0.991	1237.65	1237.65
0	c	0.989	1247.68	1247.68
0	d	0.936	1378.08	1187.94
0	e	0.967	1199.34	1199.34
0	f	0.964	1224.72	1224.72
0	g	0.975	1240.05	1240.05
0	h	0.957	1236.44	1236.44
0	i	0.969	1240.32	1240.32
0	j	0.991	1249.36	1249.36
0	k	0.978	1248.28	1248.28
0	l	0.972	1247.71	1247.71
0	m	0.964	1214.04	1214.04
0	n	0.979	1225.16	1225.16
0	o	0.968	1239.99	1239.99
1	a	0.995	inf	inf
1	b	1	inf	inf
1	c	0.938	inf	inf
1	d	1	inf	inf
1	e	1	inf	inf
1	f	1	inf	inf
1	g	1	inf	inf
1	h	0.98	inf	inf
1	i	0.959	inf	inf
1	j	1	inf	inf
1	k	0.976	inf	inf
1	l	1	inf	inf
1	m	0.97	inf	inf
1	n	0.942	inf	inf
1	o	1	inf	inf
2	a	0.981	inf	inf
2	b	0.996	inf	inf
2	c	0.957	inf	inf
2	d	1	inf	inf
2	e	1	inf	inf
2	f	1	inf	inf
2	g	1	inf	inf
2	h	0.969	inf	inf
2	i	0.946	inf	inf
2	j	0.998	inf	inf
2	k	0.977	inf	inf
2	l	1	inf	inf
2	m	0.97	inf	inf
2	n	0.958	inf	inf
2	o	1	inf	inf
3	a	0.943	1279.43	1188.22
3	b	0.988	inf	inf
3	c	0.972	inf	inf
3	d	1	inf	inf
3	e	0.998	inf	inf
3	f	1	inf	inf
3	g	0.983	inf	inf
3	h	0.976	inf	inf
3	i	0.942	inf	inf
3	j	0.994	inf	inf
3	k	0.975	inf	inf
3	l	0.967	inf	inf
3	m	0.96	inf	inf
3	n	0.969	1244.32	1244.32
3	o	0.997	inf	inf
4	a	0.954	1189.26	1189.26
4	b	0.979	1256.75	1256.75
4	c	0.988	inf	inf
4	d	0.962	1202.19	1202.19
4	e	0.99	inf	inf
4	f	0.979	inf	inf
4	g	0.979	inf	inf
4	h	0.971	inf	inf
4	i	0.959	1219.64	1219.64
4	j	0.973	inf	inf
4	k	0.948	1249.37	1223.31
4	l	0.947	1266.66	1227.23
4	m	0.973	inf	inf
4	n	0.973	1213.36	1213.36
4	o	0.977	inf	inf
5	a	0.975	1202.85	1202.85
5	b	0.941	1309.72	1190.8
5	c	0.986	inf	inf
5	d	0.918	1642.02	1165.65
5	e	0.957	1199.16	1199.16
5	f	0.93	1476.2	1193.27
5	g	0.978	1221.65	1221.65
5	h	0.953	1228.83	1228.83
5	i	0.942	1306.16	1200.25
5	j	0.964	1238.62	1238.62
5	k	0.972	inf	inf
5	l	0.936	1382.63	1191.87
5	m	0.952	1196.27	1196.27
5	n	0.969	1210.36	1210.36
5	o	0.96	1185.36	1185.36
6	a	0.96	1191.96	1191.96
6	b	0.951	1183.67	1183.67
6	c	0.962	1205.42	1205.42
6	d	0.925	1523.22	1166.66
6	e	0.948	1213.95	1188.63
6	f	0.904	1915.77	1166.25
6	g	0.976	inf	inf
6	h	0.966	1220.63	1220.63
6	i	0.943	1286.11	1194.43
6	j	0.937	1361.23	1186.02
6	k	0.975	1238.55	1238.55
6	l	0.907	1872.19	1178.11
6	m	0.942	1289.42	1184.86
6	n	0.977	1195.42	1195.42
6	o	0.934	1384.41	1168.15
7	a	0.958	1180.37	1180.37
7	b	0.947	1219.86	1181.88
7	c	0.942	1299.61	1194.22
7	d	0.952	1181.4	1181.4
7	e	0.93	1461.95	1181.75
7	f	0.911	1790.18	1177.19
7	g	0.969	1239.78	1239.78
7	h	0.952	1195.12	1195.12
7	i	0.962	1194.09	1194.09
7	j	0.917	1669.11	1172.04
7	k	0.978	inf	inf
7	l	0.957	1195.39	1195.39
7	m	0.952	1184.36	1184.36
7	n	0.946	1232.3	1181.38
7	o	0.91	1791.57	1165.23
8	a	0.939	1322.96	1177.51
8	b	0.953	1180.57	1180.57
8	c	0.941	1299.81	1181.79
8	d	0.961	1194.33	1194.33
8	e	0.947	1227.28	1189.07
8	f	0.956	1203.61	1203.61
8	g	0.978	1213.35	1213.35
8	h	0.933	1412.07	1178.79
8	i	0.941	1306.65	1188.01
8	j	0.948	1201.99	1176.92
8	k	0.975	1208.49	1208.49
8	l	0.963	1206.35	1206.35
8	m	0.953	1185.45	1185.45
8	n	0.946	1227.94	1177.2
8	o	0.924	1552.46	1176.26
9	a	0.934	1396.69	1178.51
9	b	0.946	1231.04	1180.18
9	c	0.932	1420.59	1173.25
9	d	0.946	1240.76	1189.5
9	e	0.973	1195.99	1195.99
9	f	0.975	1231.07	1231.07
9	g	0.946	1250.4	1198.73
9	h	0.938	1338.91	1179.08
9	i	0.945	1248.79	1184.6
9	j	0.944	1258.72	1181.45
9	k	0.955	1186.65	1186.65
9	l	0.956	1195.88	1195.88
9	m	0.939	1328.72	1182.64
9	n	0.933	1412.43	1179.09
9	o	0.961	1197.84	1197.84
10	a	0.943	1272.31	1181.61
10	b	0.938	1338.68	1178.87
10	c	0.928	1485.66	1175.34
10	d	0.93	1460.08	1180.24
10	e	0.959	1195.01	1195.01
10	f	0.951	1200.06	1200.06
10	g	0.952	1188.13	1188.13
10	h	0.95	1187.47	1187.47
10	i	0.947	1221.71	1183.67
10	j	0.951	1182.48	1182.48
10	k	0.946	1230.53	1179.69
10	l	0.946	1234.18	1183.19
10	m	0.941	1294.79	1177.23
10	n	0.956	1185.74	1185.74
10	o	0.96	1209.11	1209.11
11	a	0.94	1314.94	1182.9
11	b	0.935	1383.4	1179.85
11	c	0.949	1206.28	1193.64
11	d	0.929	1468.97	1174.72
11	e	0.962	1192.22	1192.22
11	f	0.957	1187.09	1187.09
11	g	0.93	1460.52	1180.59
11	h	0.941	1310.38	1191.4
11	i	0.948	1213.18	1187.88
11	j	0.951	1183.72	1183.72
11	k	0.935	1379	1176.1
11	l	0.953	1178.61	1178.61
11	m	0.924	1557.02	1179.72
11	n	0.95	1189.95	1189.95
11	o	0.95	1197.68	1197.68
12	a	0.939	1328.5	1182.45
12	b	0.951	1179.92	1179.92
12	c	0.96	1200.55	1200.55
12	d	0.921	1600.7	1174
12	e	0.934	1403.65	1184.38
12	f	0.954	1180.27	1180.27
12	g	0.93	1457.54	1178.18
12	h	0.947	1223.28	1185.19
12	i	0.947	1230.36	1192.05
12	j	0.939	1329.47	1183.31
12	k	0.931	1437.19	1174.29
12	l	0.939	1322.08	1176.73
12	m	0.944	1262.68	1185.16
12	n	0.94	1315.58	1183.48
12	o	0.931	1436.88	1174.04
13	a	0.94	1308.96	1177.52
13	b	0.937	1354.12	1179.82
13	c	0.958	1187.75	1187.75
13	d	0.927	1503.73	1176.88
13	e	0.933	1413.7	1180.15
13	f	0.925	1534.79	1175.52
13	g	0.93	1459.86	1180.06
13	h	0.93	1459.33	1179.63
13	i	0.956	1190.95	1190.95
13	j	0.946	1232.56	1181.63
13	k	0.933	1408.09	1175.46
13	l	0.934	1395.13	1177.19
13	m	0.946	1236.92	1185.81
13	n	0.932	1427.87	1179.26
13	o	0.925	1529.9	1171.77
14	a	0.944	1253.62	1176.66
14	b	0.939	1323.83	1178.29
14	c	0.937	1355.76	1181.25
14	d	0.932	1429.66	1180.75
14	e	0.944	1259.1	1181.8
14	f	0.93	1454.85	1176.01
14	g	0.952	1184.84	1184.84
14	h	0.937	1353.04	1178.89
14	i	0.944	1262.49	1184.98
14	j	0.939	1327.07	1181.17
14	k	0.932	1428.61	1179.88
14	l	0.93	1459.62	1179.87
14	m	0.944	1259.34	1182.02
14	n	0.934	1395.49	1177.5
14	o	0.929	1470.61	1176.03
15	a	0.941	1296.42	1178.7
15	b	0.936	1365.06	1176.72
15	c	0.936	1366.18	1177.69
15	d	0.942	1287.34	1182.95
15	e	0.961	1184.61	1184.61
15	f	0.941	1297.96	1180.11
15	g	0.947	1224.07	1185.96
15	h	0.927	1509.1	1181.08
15	i	0.938	1340.47	1180.46
15	j	0.944	1257.24	1180.05
15	k	0.945	1250.97	1186.67
15	l	0.947	1219.71	1181.74
15	m	0.936	1367.19	1178.56
15	n	0.936	1367.05	1178.43
15	o	0.943	1278.44	1187.3
16	a	0.944	1258.41	1181.15
16	b	0.943	1267.15	1176.82
16	c	0.931	1442.94	1178.99
16	d	0.948	1206.87	1181.7
16	e	0.942	1286.59	1182.26
16	f	0.952	1182.15	1182.15
16	g	0.937	1357.26	1182.56
16	h	0.944	1260.36	1182.99
16	i	0.933	1412.52	1179.17
16	j	0.939	1324.91	1179.25
16	k	0.941	1301.88	1183.67
16	l	0.937	1355.09	1180.67
16	m	0.928	1489.76	1178.58
16	n	0.943	1273.46	1182.68
16	o	0.956	1195.88	1195.88
17	a	0.937	1357.19	1182.5
17	b	0.939	1325.45	1179.74
17	c	0.941	1303.15	1184.83
17	d	0.933	1411.76	1178.53
17	e	0.936	1367.77	1179.06
17	f	0.954	1181.77	1181.77
17	g	0.94	1311.11	1179.46
17	h	0.928	1496.67	1184.05
17	i	0.954	1179.62	1179.62
17	j	0.942	1283.85	1179.74
17	k	0.938	1341.26	1181.15
17	l	0.948	1204.12	1179.01
17	m	0.929	1474.67	1179.27
17	n	0.965	1187.61	1187.61
17	o	0.938	1348.31	1187.36
18	a	0.931	1446.83	1182.17
18	b	0.95	1181.87	1181.87
18	c	0.955	1191.27	1191.27
18	d	0.947	1214.52	1176.71
18	e	0.924	1556.34	1179.2
18	f	0.946	1230.24	1179.41
18	g	0.933	1411.67	1178.46
18	h	0.944	1263.43	1185.87
18	i	0.939	1324.7	1179.07
18	j	0.947	1218.31	1180.38
18	k	0.952	1182.09	1182.09
18	l	0.937	1351.94	1177.92
18	m	0.934	1400.92	1182.08
18	n	0.944	1263.13	1185.58
18	o	0.933	1411.41	1178.24
19	a	0.939	1323.64	1178.12
19	b	0.95	1182.05	1182.05
19	c	0.957	1193.5	1193.5
19	d	0.928	1486.58	1176.06
19	e	0.949	1195.57	1183.05
19	f	0.942	1281.7	1177.77
19	g	0.927	1506.92	1179.37
19	h	0.94	1316.65	1184.44
19	i	0.94	1309.86	1178.33
19	j	0.944	1258.81	1181.53
19	k	0.935	1384.29	1180.61
19	l	0.921	1605.82	1177.76
19	m	0.941	1304.14	1185.73
19	n	0.935	1382.27	1178.89
19	o	0.926	1519.47	1176.43
20	a	0.944	1253.77	1176.79
20	b	0.934	1397.2	1178.94
20	c	0.953	1186.25	1186.25
20	d	0.936	1369.39	1180.46
20	e	0.943	1277.58	1186.5
20	f	0.933	1411.77	1178.54
20	g	0.944	1259.2	1181.89
20	h	0.945	1248.02	1183.87
20	i	0.94	1309.5	1178.01
20	j	0.949	1193.24	1180.74
20	k	0.938	1339.19	1179.33
20	l	0.938	1337.14	1177.52
20	m	0.952	1188.92	1188.92
20	n	0.941	1295.6	1177.96
20	o	0.936	1365.85	1177.4
21	a	0.94	1309.63	1178.13
21	b	0.913	1750.68	1176.74
21	c	0.947	1218.87	1180.92
21	d	0.936	1373.96	1184.39
21	e	0.936	1375.59	1185.8
21	f	0.93	1459.37	1179.67
21	g	0.957	1184.35	1184.35
21	h	0.935	1386.92	1182.86
21	i	0.94	1309.59	1178.09
21	j	0.955	1179.53	1179.53
21	k	0.941	1296.86	1179.11
21	l	0.943	1268.14	1177.73
21	m	0.948	1209.09	1183.88
21	n	0.939	1325.15	1179.47
21	o	0.928	1492.76	1180.95
22	a	0.924	1557.13	1179.8
22	b	0.938	1337.01	1177.41
22	c	0.947	1217.72	1179.81
22	d	0.945	1248.62	1184.44
22	e	0.942	1286.67	1182.34
22	f	0.934	1399.11	1180.55
22	g	0.925	1544.23	1182.75
22	h	0.938	1342.01	1181.81
22	i	0.941	1296.06	1178.38
22	j	0.936	1366.55	1178.01
22	k	0.942	1283.89	1179.78
22	l	0.937	1352.98	1178.83
22	m	0.951	1180.76	1180.76
22	n	0.95	1181.45	1181.45
22	o	0.933	1421.36	1186.54
23	a	0.931	1445.8	1181.32
23	b	0.949	1193.27	1180.77
23	c	0.934	1400.34	1181.59
23	d	0.942	1285.5	1181.26
23	e	0.948	1205.17	1180.04
23	f	0.939	1326.83	1180.96
23	g	0.947	1219.74	1181.77
23	h	0.95	1182.47	1182.47
23	i	0.931	1442.57	1178.68
23	j	0.942	1282.51	1178.51
23	k	0.933	1414.81	1181.08
23	l	0.946	1230.44	1179.6
23	m	0.934	1397.28	1179.01
23	n	0.946	1234.21	1183.22
23	o	0.96	1187.45	1187.45
24	a	0.938	1340.24	1180.25
24	b	0.934	1400.22	1181.48
24	c	0.933	1416.84	1182.77
24	d	0.939	1321.57	1176.28
24	e	0.941	1297.25	1179.47
24	f	0.936	1368.9	1180.04
24	g	0.946	1232.11	1181.21
24	h	0.936	1370.46	1181.37
24	i	0.94	1310.74	1179.12
24	j	0.936	1367.97	1179.23
24	k	0.946	1232.85	1181.92
24	l	0.926	1523.46	1179.52
24	m	0.939	1322.84	1177.41
24	n	0.943	1274.13	1183.3
24	o	0.934	1397.99	1179.6
25	a	0.932	1427.62	1179.06
25	b	0.939	1326.6	1180.76
25	c	0.943	1272.65	1181.93
25	d	0.936	1362.43	1174.45
25	e	0.934	1396.3	1178.18
25	f	0.932	1428.26	1179.59
25	g	0.936	1369.07	1180.18
25	h	0.936	1368.49	1179.68
25	i	0.927	1507.23	1179.61
25	j	0.941	1297.93	1180.08
25	k	0.937	1355.29	1180.84
25	l	0.942	1282.83	1178.81
25	m	0.939	1322.87	1177.44
25	n	0.931	1444.04	1179.89
25	o	0.917	1673.56	1175.17
26	a	0.962	1178.82	1178.82
26	b	0.938	1338.3	1178.54
26	c	0.947	1220.09	1182.1
26	d	0.941	1293.91	1176.43
26	e	0.935	1381.29	1178.05
26	f	0.946	1230.34	1179.5
26	g	0.948	1206.26	1181.1
26	h	0.946	1228.94	1178.16
26	i	0.926	1523.25	1179.36
26	j	0.95	1180.51	1180.51
26	k	0.935	1383.04	1179.55
26	l	0.945	1241.96	1178.12
26	m	0.945	1243.86	1179.93
26	n	0.928	1488.84	1177.86
26	o	0.935	1378.77	1175.9
27	a	0.947	1216.21	1178.34
27	b	0.923	1571.19	1177.63
27	c	0.943	1272.08	1181.4
27	d	0.96	1181.46	1181.46
27	e	0.942	1283.64	1179.55
27	f	0.941	1297.68	1179.86
27	g	0.938	1341.62	1181.46
27	h	0.927	1504.85	1177.75
27	i	0.935	1382.25	1178.87
27	j	0.943	1269.82	1179.3
27	k	0.936	1369.68	1180.71
27	l	0.941	1295.37	1177.76
27	m	0.94	1314.14	1182.18
27	n	0.927	1504.65	1177.6
27	o	0.936	1373.96	1184.4
28	a	0.925	1538.55	1178.4
28	b	0.932	1426.7	1178.3
28	c	0.944	1257.88	1180.66
28	d	0.929	1479.17	1182.88
28	e	0.929	1476.79	1180.97
28	f	0.931	1443.83	1179.71
28	g	0.926	1525.71	1181.26
28	h	0.935	1383.11	1179.6
28	i	0.935	1382.48	1179.07
28	j	0.95	1178.21	1178.21
28	k	0.927	1509.42	1181.33
28	l	0.942	1282.48	1178.49
28	m	0.944	1257.97	1180.74
28	n	0.944	1256.29	1179.16
28	o	0.95	1189.92	1189.92
29	a	0.94	1310.32	1178.74
29	b	0.941	1297.44	1179.64
29	c	0.937	1355.9	1181.38
29	d	0.932	1429.72	1180.8
29	e	0.945	1245.34	1181.32
29	f	0.925	1538.35	1178.24
29	g	0.936	1370.28	1181.22
29	h	0.944	1258.46	1181.2
29	i	0.942	1283.76	1179.66
29	j	0.945	1241.58	1177.76
29	k	0.944	1257.54	1180.34
29	l	0.931	1442.83	1178.9
29	m	0.944	1253.84	1176.86
29	n	0.946	1232.41	1181.5
29	o	0.954	1191.43	1191.43
30	a	0.942	1282.67	1178.66
30	b	0.931	1443.65	1179.57
30	c	0.935	1386.66	1182.63
30	d	0.946	1231.22	1180.35
30	e	0.935	1384.55	1180.83
30	f	0.927	1506.29	1178.88
30	g	0.949	1193.92	1181.41
30	h	0.936	1370.3	1181.24
30	i	0.944	1256.41	1179.27
30	j	0.911	1790.85	1177.62
