i	MCS_VAR	fitness_var	original_fitness_var
0	0.00265317	nan	nan
1	0.00288962	75.4678	75.4678
2	0.00238531	47.1882	47.1882
3	0.00225592	29.9344	29.9344
4	0.00218135	20.2113	20.2113
5	0.00245519	13.6616	13.6616
6	0.00219407	9.72442	9.72442
7	0.00228205	6.40978	6.40978
8	0.00235242	4.39846	4.39846
9	0.00237064	3.02719	3.02719
10	0.00230994	2.13485	2.13485
11	0.00247008	1.47447	1.47447
12	0.00241673	0.9699	0.9699
13	0.00220285	0.666067	0.666067
14	0.00236802	0.424999	0.424999
15	0.00239368	0.300571	0.300571
16	0.00241601	0.205067	0.205067
17	0.00247082	0.148397	0.148397
18	0.00238004	0.126569	0.126569
19	0.00261011	0.0915661	0.0915661
20	0.00231688	0.061696	0.061696
21	0.0025126	0.0421197	0.0421197
22	0.00228472	0.0302954	0.0302954
23	0.00246007	0.0206499	0.0206499
24	0.00251727	0.0142008	0.0142008
25	0.00240082	0.0103034	0.0103034
26	0.00247641	0.00726427	0.00726427
27	0.00249134	0.00490353	0.00490353
28	0.00221566	0.00310815	0.00310815
29	0.0021645	0.00195928	0.00195928
30	0.00240502	0.00129299	0.00129299
31	0.00253659	0.000856852	0.000856852
32	0.00248769	0.000577202	0.000577202
33	0.00244308	0.000410434	0.000410434
34	0.00239161	0.00033187	0.00033187
35	0.00237124	0.000230734	0.000230734
36	0.00247265	0.000172329	0.000172329
37	0.00267269	0.000121466	0.000121466
38	0.00237433	8.64201e-005	8.64201e-005
39	0.00229613	5.70633e-005	5.70633e-005
40	0.0023223	0.000105671	0.000105671
41	0.00249137	7.41946e-005	7.41946e-005
42	0.00260335	5.07333e-005	5.07333e-005
43	0.00237556	4.56568e-005	4.56568e-005
44	0.00229904	3.41257e-005	3.41257e-005
45	0.00250394	2.25238e-005	2.25238e-005
46	0.00251566	1.62656e-005	1.62656e-005
47	0.00235136	1.18609e-005	1.18609e-005
48	0.00237001	7.46433e-006	7.46433e-006
49	0.00232646	5.38838e-006	5.38838e-006
50	0.00243912	3.30309e-006	3.30309e-006
51	0.00235611	1.89426e-006	1.89426e-006
52	0.00226155	1.44705e-006	1.44705e-006
53	0.00249802	8.54077e-007	8.54077e-007
54	0.00243972	6.51329e-007	6.51329e-007
55	0.00250974	4.20678e-007	4.20678e-007
56	0.00263517	2.63331e-007	2.63331e-007
57	0.00251589	2.07937e-007	2.07937e-007
58	0.00251407	1.38951e-007	1.38951e-007
59	0.00233594	9.35207e-008	9.35207e-008
60	0.00259463	6.59619e-008	6.59619e-008
61	0.00217363	5.41631e-008	5.41631e-008
62	0.00238966	3.49415e-008	3.49415e-008
63	0.00233734	2.36014e-008	2.36014e-008
64	0.00248592	1.63474e-008	1.63474e-008
65	0.00253599	1.0741e-008	1.0741e-008
66	0.00252555	6.96815e-009	6.96815e-009
67	0.00236206	9.92167e-009	9.92167e-009
68	0.00240269	6.99175e-009	6.99175e-009
69	0.00249696	5.86344e-009	5.86344e-009
70	0.00228779	3.59207e-009	3.59207e-009
71	0.00234267	2.64966e-009	2.64966e-009
72	0.00249663	1.61037e-009	1.61037e-009
73	0.00227962	1.02753e-009	1.02753e-009
74	0.00240258	6.7773e-010	6.7773e-010
75	0.00231602	4.85789e-010	4.85789e-010
76	0.00256956	3.10448e-010	3.10448e-010
77	0.00242984	2.28075e-010	2.28075e-010
78	0.00241919	1.79018e-010	1.79018e-010
79	0.0025309	1.35704e-010	1.35704e-010
80	0.00248124	1.05815e-010	1.05815e-010
81	0.00228894	9.4839e-011	9.4839e-011
82	0.00243227	7.78935e-011	7.78935e-011
83	0.00229793	6.62908e-011	6.62908e-011
84	0.00230241	5.25651e-011	5.25651e-011
85	0.00231615	4.76987e-011	4.76987e-011
86	0.00234847	3.87156e-011	3.87156e-011
87	0.00225906	3.47492e-011	3.47492e-011
88	0.00243045	2.90196e-011	2.90196e-011
89	0.00229417	2.52685e-011	2.52685e-011
90	0.00241546	2.31214e-011	2.31214e-011
91	0.00238909	2.09418e-011	2.09418e-011
92	0.00249461	1.97258e-011	1.97258e-011
93	0.00238615	1.91631e-011	1.91631e-011
94	0.00252499	1.86509e-011	1.86509e-011
95	0.00241016	1.55684e-011	1.55684e-011
96	0.00214833	1.1702e-011	1.1702e-011
97	0.00231617	9.15297e-012	9.15297e-012
98	0.00242801	7.99804e-012	7.99804e-012
99	0.00232881	7.3813e-012	7.3813e-012
