iteration	particle_num	MCS_value	fitness_value	original_fitness_value
0	0	0.994	6774.97	6774.97
0	1	0.995	6606.1	6606.1
0	2	1	6686.15	6686.15
0	3	0.984	6672.26	6672.26
0	4	0.985	6732.78	6732.78
0	5	0.991	6775.87	6775.87
0	6	0.989	6608.48	6608.48
0	7	0.991	6786.06	6786.06
0	8	0.992	6642.93	6642.93
0	9	0.988	6767.65	6767.65
0	10	0.981	6895.95	6895.95
0	11	0.987	6745.5	6745.5
0	12	0.997	6656.58	6656.58
0	13	0.993	6757.79	6757.79
0	14	0.995	6656.14	6656.14
0	15	0.99	6662.67	6662.67
0	16	0.989	6786.41	6786.41
0	17	0.984	6652.92	6652.92
0	18	0.987	6816.63	6816.63
0	19	0.987	6706.76	6706.76
0	20	0.99	6702.65	6702.65
0	21	0.983	6658.03	6658.03
0	22	0.998	6639.94	6639.94
0	23	0.993	6691.51	6691.51
0	24	0.997	6833.16	6833.16
0	25	0.992	6711.51	6711.51
0	26	0.99	6619.97	6619.97
0	27	0.976	6649.07	6649.07
0	28	0.982	6631.35	6631.35
0	29	0.997	6669.33	6669.33
0	30	0.979	6634.72	6634.72
0	31	0.992	6738.3	6738.3
0	32	0.992	6685.11	6685.11
0	33	0.996	6595.94	6595.94
0	34	0.982	6683	6683
0	35	0.993	6693.13	6693.13
0	36	0.996	6803.67	6803.67
0	37	0.985	6753.16	6753.16
0	38	0.989	6683.17	6683.17
0	39	0.985	6505.23	6505.23
0	40	0.986	6642.49	6642.49
0	41	0.975	6687.55	6687.55
0	42	0.984	6666.24	6666.24
0	43	0.998	6742.51	6742.51
0	44	0.982	6739.39	6739.39
0	45	0.989	6585.57	6585.57
0	46	0.977	6500.42	6500.42
0	47	0.989	6774.86	6774.86
0	48	0.993	6748.34	6748.34
0	49	0.997	6727.38	6727.38
0	50	0.998	6759.86	6759.86
0	51	1	6896.26	6896.26
0	52	0.989	6644.75	6644.75
0	53	0.987	6691.35	6691.35
0	54	0.992	6902.59	6902.59
0	55	0.998	6664.58	6664.58
0	56	0.986	6657.39	6657.39
0	57	0.99	6570.37	6570.37
0	58	0.975	6683.67	6683.67
0	59	0.998	6786.23	6786.23
0	60	0.995	6765.12	6765.12
0	61	0.996	6806.48	6806.48
0	62	0.995	6705.42	6705.42
0	63	0.997	6827.99	6827.99
0	64	0.982	6578.44	6578.44
0	65	0.999	6767.46	6767.46
0	66	0.994	6682.96	6682.96
0	67	0.995	6754.72	6754.72
0	68	0.991	6816.8	6816.8
0	69	0.978	6638.25	6638.25
0	70	0.997	6762.63	6762.63
0	71	0.989	6705.15	6705.15
0	72	0.997	6688.35	6688.35
0	73	0.997	6657.59	6657.59
0	74	1	6758.14	6758.14
0	75	0.982	6573.3	6573.3
0	76	0.999	6809.39	6809.39
0	77	0.985	6679.41	6679.41
0	78	0.992	6744.78	6744.78
0	79	0.994	6730.19	6730.19
1	0	0.98	inf	inf
1	1	0.992	inf	inf
1	2	0.999	inf	inf
1	3	0.98	inf	inf
1	4	0.987	inf	inf
1	5	0.999	inf	inf
1	6	1	inf	inf
1	7	0.999	inf	inf
1	8	0.959	inf	inf
1	9	1	inf	inf
1	10	0.987	inf	inf
1	11	1	inf	inf
1	12	1	inf	inf
1	13	0.999	inf	inf
1	14	1	inf	inf
1	15	1	inf	inf
1	16	0.999	inf	inf
1	17	0.984	inf	inf
1	18	0.993	inf	inf
1	19	1	inf	inf
1	20	0.976	inf	inf
1	21	1	inf	inf
1	22	0.989	inf	inf
1	23	0.994	inf	inf
1	24	0.959	inf	inf
1	25	1	inf	inf
1	26	0.979	inf	inf
1	27	0.986	inf	inf
1	28	0.959	inf	inf
1	29	0.969	inf	inf
1	30	0.961	inf	inf
1	31	0.97	inf	inf
1	32	0.998	inf	inf
1	33	0.992	inf	inf
1	34	0.983	inf	inf
1	35	0.998	inf	inf
1	36	0.994	inf	inf
1	37	0.972	inf	inf
1	38	0.995	inf	inf
1	39	1	inf	inf
1	40	0.98	inf	inf
1	41	1	inf	inf
1	42	0.998	inf	inf
1	43	0.996	inf	inf
1	44	0.964	inf	inf
1	45	0.996	inf	inf
1	46	0.965	inf	inf
1	47	1	inf	inf
1	48	1	inf	inf
1	49	0.981	inf	inf
1	50	0.999	inf	inf
1	51	0.992	inf	inf
1	52	0.973	inf	inf
1	53	1	inf	inf
1	54	1	inf	inf
1	55	0.996	inf	inf
1	56	0.999	inf	inf
1	57	1	inf	inf
1	58	0.98	inf	inf
1	59	0.999	inf	inf
1	60	0.984	inf	inf
1	61	0.995	inf	inf
1	62	0.997	inf	inf
1	63	1	inf	inf
1	64	0.989	inf	inf
1	65	1	inf	inf
1	66	0.998	inf	inf
1	67	0.999	inf	inf
1	68	0.987	inf	inf
1	69	0.996	inf	inf
1	70	1	inf	inf
1	71	1	inf	inf
1	72	0.991	inf	inf
1	73	0.999	inf	inf
1	74	1	inf	inf
1	75	0.966	inf	inf
1	76	1	inf	inf
1	77	0.998	inf	inf
1	78	0.991	inf	inf
1	79	1	inf	inf
2	0	0.966	inf	inf
2	1	0.989	inf	inf
2	2	0.996	inf	inf
2	3	0.969	inf	inf
2	4	0.996	inf	inf
2	5	0.998	inf	inf
2	6	0.999	inf	inf
2	7	0.998	inf	inf
2	8	0.966	inf	inf
2	9	1	inf	inf
2	10	0.978	inf	inf
2	11	1	inf	inf
2	12	1	inf	inf
2	13	0.998	inf	inf
2	14	1	inf	inf
2	15	1	inf	inf
2	16	0.999	inf	inf
2	17	0.99	inf	inf
2	18	0.991	inf	inf
2	19	0.998	inf	inf
2	20	0.979	inf	inf
2	21	1	inf	inf
2	22	0.983	inf	inf
2	23	0.993	inf	inf
2	24	0.962	inf	inf
2	25	1	inf	inf
2	26	0.974	inf	inf
2	27	0.983	inf	inf
2	28	0.975	inf	inf
2	29	0.97	inf	inf
2	30	0.961	inf	inf
2	31	0.982	inf	inf
2	32	0.999	inf	inf
2	33	0.988	inf	inf
2	34	0.981	inf	inf
2	35	0.997	inf	inf
2	36	0.995	inf	inf
2	37	0.957	inf	inf
2	38	0.994	inf	inf
2	39	0.997	inf	inf
2	40	0.98	inf	inf
2	41	1	inf	inf
2	42	0.998	inf	inf
2	43	0.995	inf	inf
2	44	0.978	inf	inf
2	45	0.993	inf	inf
2	46	0.964	inf	inf
2	47	1	inf	inf
2	48	0.999	inf	inf
2	49	0.977	inf	inf
2	50	0.998	inf	inf
2	51	0.987	inf	inf
2	52	0.983	inf	inf
2	53	1	inf	inf
2	54	1	inf	inf
2	55	0.998	inf	inf
2	56	0.995	inf	inf
2	57	0.998	inf	inf
2	58	0.98	inf	inf
2	59	1	inf	inf
2	60	0.992	inf	inf
2	61	0.992	inf	inf
2	62	0.997	inf	inf
2	63	0.999	inf	inf
2	64	0.985	inf	inf
2	65	1	inf	inf
2	66	0.99	inf	inf
2	67	0.965	inf	inf
2	68	0.984	inf	inf
2	69	0.995	inf	inf
2	70	1	inf	inf
2	71	1	inf	inf
2	72	0.99	inf	inf
2	73	0.995	inf	inf
2	74	0.999	inf	inf
2	75	0.981	inf	inf
2	76	0.999	inf	inf
2	77	1	inf	inf
2	78	0.989	inf	inf
2	79	1	inf	inf
3	0	0.967	inf	inf
3	1	0.972	inf	inf
3	2	1	inf	inf
3	3	0.971	inf	inf
3	4	0.993	inf	inf
3	5	0.995	inf	inf
3	6	0.989	inf	inf
3	7	0.996	inf	inf
3	8	0.975	inf	inf
3	9	0.985	inf	inf
3	10	0.983	inf	inf
3	11	0.984	inf	inf
3	12	0.98	inf	inf
3	13	0.994	inf	inf
3	14	1	inf	inf
3	15	0.999	inf	inf
3	16	0.99	inf	inf
3	17	0.988	inf	inf
3	18	0.99	inf	inf
3	19	0.997	inf	inf
3	20	0.977	inf	inf
3	21	0.994	inf	inf
3	22	0.964	inf	inf
3	23	0.98	inf	inf
3	24	0.96	inf	inf
3	25	0.997	inf	inf
3	26	0.981	inf	inf
3	27	0.983	inf	inf
3	28	0.984	inf	inf
3	29	0.973	inf	inf
3	30	0.975	inf	inf
3	31	0.981	inf	inf
3	32	0.999	inf	inf
3	33	0.98	inf	inf
3	34	0.987	inf	inf
3	35	0.994	inf	inf
3	36	0.992	inf	inf
3	37	0.956	inf	inf
3	38	0.992	inf	inf
3	39	0.992	inf	inf
3	40	0.972	inf	inf
3	41	1	inf	inf
3	42	0.998	inf	inf
3	43	0.99	inf	inf
3	44	0.974	inf	inf
3	45	0.995	inf	inf
3	46	0.97	inf	inf
3	47	1	inf	inf
3	48	0.989	inf	inf
3	49	0.977	inf	inf
3	50	0.994	inf	inf
3	51	0.994	inf	inf
3	52	0.971	inf	inf
3	53	1	inf	inf
3	54	1	inf	inf
3	55	0.987	inf	inf
3	56	0.989	inf	inf
3	57	0.997	inf	inf
3	58	0.978	inf	inf
3	59	0.989	inf	inf
3	60	0.989	inf	inf
3	61	0.985	inf	inf
3	62	1	inf	inf
3	63	1	inf	inf
3	64	0.977	inf	inf
3	65	1	inf	inf
3	66	0.988	inf	inf
3	67	0.959	inf	inf
3	68	0.986	inf	inf
3	69	0.992	inf	inf
3	70	0.999	inf	inf
3	71	0.993	inf	inf
3	72	0.991	inf	inf
3	73	0.995	inf	inf
3	74	0.999	inf	inf
3	75	0.989	inf	inf
3	76	0.999	inf	inf
3	77	0.98	inf	inf
3	78	0.99	inf	inf
3	79	0.997	inf	inf
4	0	0.993	inf	inf
4	1	0.975	inf	inf
4	2	1	inf	inf
4	3	0.98	inf	inf
4	4	0.994	inf	inf
4	5	0.997	inf	inf
4	6	0.995	inf	inf
4	7	0.989	inf	inf
4	8	0.961	inf	inf
4	9	0.964	inf	inf
4	10	0.987	inf	inf
4	11	0.983	inf	inf
4	12	0.972	inf	inf
4	13	0.99	inf	inf
4	14	0.997	inf	inf
4	15	0.986	inf	inf
4	16	0.99	inf	inf
4	17	0.977	inf	inf
4	18	0.989	inf	inf
4	19	0.996	inf	inf
4	20	0.978	inf	inf
4	21	0.975	inf	inf
4	22	0.974	inf	inf
4	23	0.987	inf	inf
4	24	0.957	inf	inf
4	25	0.982	inf	inf
4	26	0.982	inf	inf
4	27	0.98	inf	inf
4	28	0.992	inf	inf
4	29	0.984	inf	inf
4	30	0.98	inf	inf
4	31	0.993	inf	inf
4	32	0.995	inf	inf
4	33	0.989	inf	inf
4	34	0.984	inf	inf
4	35	0.964	inf	inf
4	36	0.993	inf	inf
4	37	0.978	inf	inf
4	38	0.978	inf	inf
4	39	0.99	inf	inf
4	40	0.975	inf	inf
4	41	0.993	inf	inf
4	42	0.987	inf	inf
4	43	0.975	inf	inf
4	44	0.975	inf	inf
4	45	0.996	inf	inf
4	46	0.951	inf	inf
4	47	0.996	inf	inf
4	48	0.989	inf	inf
4	49	0.966	inf	inf
4	50	0.991	inf	inf
4	51	0.999	inf	inf
4	52	0.976	inf	inf
4	53	0.998	inf	inf
4	54	0.995	inf	inf
4	55	0.985	inf	inf
4	56	0.974	inf	inf
4	57	0.991	inf	inf
4	58	0.981	inf	inf
4	59	0.981	inf	inf
4	60	0.984	inf	inf
4	61	0.993	inf	inf
4	62	0.994	inf	inf
4	63	0.998	inf	inf
4	64	0.979	inf	inf
4	65	0.995	inf	inf
4	66	0.994	inf	inf
4	67	0.976	inf	inf
4	68	0.994	inf	inf
4	69	0.996	inf	inf
4	70	0.997	inf	inf
4	71	0.996	inf	inf
4	72	0.978	inf	inf
4	73	0.988	inf	inf
4	74	0.998	inf	inf
4	75	0.985	inf	inf
4	76	1	inf	inf
4	77	0.995	inf	inf
4	78	0.986	inf	inf
4	79	0.988	inf	inf
5	0	0.998	inf	inf
5	1	0.987	6521.58	6521.58
5	2	0.992	inf	inf
5	3	0.983	inf	inf
5	4	0.98	inf	inf
5	5	0.981	inf	inf
5	6	0.973	inf	inf
5	7	0.982	inf	inf
5	8	0.978	inf	inf
5	9	0.972	inf	inf
5	10	0.989	inf	inf
5	11	0.987	inf	inf
5	12	0.975	inf	inf
5	13	0.986	inf	inf
5	14	0.996	inf	inf
5	15	0.971	inf	inf
5	16	0.977	inf	inf
5	17	0.968	inf	inf
5	18	0.982	inf	inf
5	19	0.985	inf	inf
5	20	0.987	inf	inf
5	21	0.974	inf	inf
5	22	0.976	inf	inf
5	23	0.983	inf	inf
5	24	0.978	inf	inf
5	25	0.984	inf	inf
5	26	0.993	inf	inf
5	27	0.976	6536.69	6536.69
5	28	0.971	inf	inf
5	29	0.984	inf	inf
5	30	0.972	inf	inf
5	31	0.975	inf	inf
5	32	0.982	inf	inf
5	33	0.995	inf	inf
5	34	0.978	inf	inf
5	35	0.968	inf	inf
5	36	0.997	inf	inf
5	37	0.977	inf	inf
5	38	0.982	inf	inf
