i	MCS_VAR	fitness_var	original_fitness_var
0	0.0137592	38.7168	20.4537
1	0.0215252	nan	nan
2	0.0186185	nan	nan
3	0.0186254	nan	nan
4	0.0129041	nan	nan
5	0.0186436	nan	nan
6	0.0224198	nan	nan
7	0.0196871	nan	nan
8	0.0142027	99.5965	12.4774
9	0.0129882	79.4615	13.6471
10	0.00909847	94.463	8.86496
11	0.0107753	122.483	6.68922
12	0.00996572	117.072	6.8831
13	0.010081	115.259	4.82479
14	0.00653401	87.1952	2.73672
15	0.00732727	78.5495	3.27054
16	0.00725902	87.1095	4.1868
17	0.0096669	96.5741	2.94583
18	0.00855934	111.174	3.69313
19	0.00954615	125.087	4.35776
20	0.00600518	71.8774	3.68521
21	0.0105148	141.807	2.73503
22	0.00767565	109.879	2.39342
23	0.00812294	95.8567	2.12493
24	0.00503587	72.7876	1.82375
25	0.00637913	98.3525	1.968
26	0.00890842	105.594	1.59004
27	0.00868562	106.071	1.94675
28	0.00841586	120.895	2.82425
29	0.00696467	92.3677	3.22324
30	0.00920628	142.938	1.7299
31	0.0088383	132.342	1.82659
32	0.00763326	106.175	1.39634
33	0.00662789	96.6758	1.34933
34	0.00749103	112.903	1.66118
35	0.00858836	127.545	1.54085
36	0.00542423	71.3249	1.28439
37	0.0078202	105.309	1.72638
38	0.00913941	113.356	1.65944
39	0.00805702	121.594	1.51512
40	0.00749815	109.392	1.76343
41	0.0095205	116.299	1.64858
42	0.00503057	68.6065	1.27874
43	0.0108177	161.101	0.951953
44	0.0060406	92.2074	1.03085
45	0.00684949	101.173	1.03429
46	0.00784743	118.035	1.12952
47	0.00795822	114.037	1.34538
48	0.00843696	99.503	1.54206
49	0.00731209	110.885	1.15054
50	0.00716907	104.61	0.822513
51	0.00429677	60.0329	0.829343
52	0.00681632	76.2647	0.778556
53	0.00581798	86.9668	0.77588
54	0.0088604	133.919	0.739229
55	0.00972054	119.57	0.956597
56	0.00929994	117.428	0.676929
57	0.0102597	131.987	0.699972
58	0.00899975	143.381	0.728703
59	0.00789824	112.008	0.75322
60	0.00553132	79.7567	0.924968
61	0.00648554	87.5303	0.963081
62	0.00842747	120.001	0.785928
63	0.00694934	102.521	0.493733
64	0.00801221	100.617	0.564818
65	0.0053066	79.9862	0.688869
66	0.00912287	133.566	0.825279
67	0.00657064	96.4023	0.819267
68	0.00532249	78.319	0.75963
69	0.00780142	105.697	0.608701
70	0.00907598	123.514	0.516044
71	0.0059963	94.1682	0.520786
72	0.00452647	67.4574	0.519815
73	0.00728347	99.6098	0.683312
74	0.00753481	107.8	0.923549
75	0.00788642	105.796	0.852015
76	0.00625247	81.8905	0.723481
77	0.00769242	112.839	0.641047
78	0.00561902	83.0636	0.581985
79	0.00517515	66.6552	0.534651
80	0.00864716	129.627	0.448825
81	0.0074087	108.989	0.582264
82	0.00613188	88.4345	0.666032
83	0.00785706	116.178	0.671977
84	0.00727431	109.081	0.530537
85	0.00965954	142.423	0.482653
86	0.00542586	68.8309	0.679499
87	0.00383319	53.9602	0.599134
88	0.00501287	73.4397	0.58999
89	0.00728652	97.8632	0.712732
90	0.00888444	123.559	0.53369
91	0.00812951	118.758	0.506705
92	0.00920773	135.134	0.576744
93	0.0070282	102.489	0.478742
94	0.00696148	102.152	0.344465
95	0.00786271	117.65	0.322518
96	0.00760409	111.808	0.340988
97	0.00715976	108.637	0.453378
98	0.00908381	142.143	0.473993
99	0.00728347	106.087	0.477557
